1.218869968763538125e+01,9.637456667738402150e-01
1.186926848492737641e+01,9.443525398993110054e-01
1.121359391094778779e+01,9.337175993552142561e-01
1.052989905602890097e+01,9.212059045974535509e-01
9.874224482049312357e+00,9.036895319365885193e-01
9.201737739506144820e+00,8.842964050620593097e-01
8.551667221714415845e+00,8.555195071192094325e-01
7.879180479171247420e+00,8.242402702248075030e-01
7.206693736628079883e+00,7.917098638546296030e-01
6.551019162648491267e+00,7.623073811738917405e-01
5.867324307729603561e+00,7.360328221825941375e-01
5.194837565186436024e+00,7.210187884732811581e-01
4.527954878831128127e+00,7.178908647838408985e-01
3.877884361039399597e+00,7.203932037353930617e-01
3.166169225181214131e+00,7.222699579490572397e-01
2.504890595013766319e+00,6.897395515788792286e-01
2.062170156172847602e+00,6.409439420236121565e-01
